深,圳
30日（今天）,晴,5℃
31日（明天）,晴,12/5℃
1日（后天）,晴,14/5℃
2日（周六）,晴转多云,17/9℃
3日（周日）,多云,19/12℃
4日（周一）,多云,21/15℃
5日（周二）,多云转阴,22/13℃
